Chrom	Read	Strand
8	226	0
8	1187	0
8	1224	1
8	1970	1
8	2953	1
8	3042	1
8	3252	1
8	3338	0
8	3439	0
8	3560	1
8	4872	1
8	5175	0
8	5284	1
8	5856	0
8	5917	1
8	7137	0
8	7262	1
8	7444	1
8	7453	1
8	8115	0
8	8244	1
8	8819	1
8	9320	1
8	9672	0
8	10076	0
8	10168	1
8	11142	0
8	11182	1
8	11206	0
8	11270	0
8	11719	0
8	11778	0
8	13036	1
8	13173	0
8	13352	0
8	13623	1
8	14911	1
8	15733	0
8	15744	1
8	16489	1
8	16885	0
8	16926	1
8	18068	0
8	18612	0
8	18835	0
8	19625	1
8	20209	0
8	20981	1
8	21700	0
8	21834	0
8	22252	1
8	22500	0
8	23618	0
8	23858	1
8	24197	1
8	24735	1
8	25176	0
8	25462	1
8	25973	1
8	27067	1
8	28989	1
8	29733	1
8	29976	1
8	29977	0
8	31034	0
8	31374	0
8	31672	0
8	31894	1
8	32363	1
8	32533	0
8	33614	1
8	34359	1
8	35033	1
8	35284	0
8	35419	0
8	35420	0
8	35774	1
8	37116	1
8	37313	0
8	38331	0
8	38508	0
8	38620	1
8	39929	1
8	41587	1
8	42097	1
8	42544	0
8	43291	0
8	43613	1
8	43842	0
8	44135	0
8	44350	0
8	44515	0
8	45159	1
8	45457	0
8	45620	1
8	45810	1
8	46208	1
8	46338	1
8	47359	1
8	47551	0
8	47648	1
8	48107	1
8	48341	1
8	48374	0
8	48727	1
8	49001	1
8	49757	0
8	49850	1
8	50254	1
8	50605	1
8	50632	0
8	53154	1
8	53245	1
8	53543	0
8	53808	0
8	54457	1
8	54973	0
8	55025	0
8	55203	1
8	55284	0
8	55514	1
8	56495	1
8	56789	0
8	58893	0
8	60688	1
8	61421	0
8	62096	1
8	62957	0
8	63332	1
8	63785	0
8	63808	1
8	63809	0
8	64323	0
8	65101	0
8	65420	0
8	65544	1
8	65717	1
8	65746	0
8	65752	1
8	65905	0
8	66367	1
8	67211	0
8	67572	0
8	67575	1
8	69004	1
8	69773	1
8	70081	0
8	70475	0
8	70691	0
8	70764	0
8	71073	0
8	71159	1
8	71552	0
8	71915	1
8	73257	1
8	73840	1
8	74215	1
8	75649	0
8	75719	0
8	75732	0
8	76212	0
8	76447	1
8	80790	1
8	81143	1
8	82376	1
8	82387	0
8	82422	0
8	83056	0
8	83607	0
8	84387	1
8	84573	0
8	85419	0
8	85616	0
8	86059	1
8	87359	0
8	87486	0
8	87522	0
8	87550	0
8	87625	0
8	88193	1
8	91158	0
8	91228	1
8	92338	1
8	94414	1
