Chrom	Read	Strand
8	583	1
8	873	1
8	876	1
8	1397	1
8	2207	0
8	2640	0
8	3064	1
8	3580	1
8	4084	0
8	4550	1
8	4637	0
8	4798	1
8	5239	1
8	5363	1
8	5532	0
8	6854	0
8	7179	0
8	7342	0
8	7393	1
8	7887	0
8	10575	0
8	11180	1
8	11335	1
8	11704	0
8	12412	0
8	12604	0
8	12797	1
8	12803	1
8	14142	1
8	14444	0
8	14842	1
8	15652	1
8	15699	1
8	15865	0
8	16545	1
8	16951	0
8	17222	1
8	18038	0
8	18121	1
8	19166	1
8	19414	1
8	20851	1
8	23493	0
8	23758	1
8	24568	1
8	24652	1
8	25222	0
8	25475	0
8	25817	1
8	26134	1
8	26560	1
8	27214	1
8	27761	0
8	28000	1
8	28192	0
8	28315	1
8	29031	0
8	29947	0
8	30449	1
8	30956	0
8	31827	1
8	32339	1
8	32697	0
8	32718	0
8	33129	1
8	34314	1
8	34552	0
8	34554	1
8	34616	1
8	34647	1
8	35144	1
8	36797	1
8	38638	0
8	38688	1
8	39652	0
8	41005	1
8	41410	1
8	42453	1
8	42645	1
8	42788	1
8	43122	1
8	43653	1
8	45754	0
8	46329	1
8	47864	0
8	50508	1
8	50548	0
8	51042	1
8	51086	1
8	51289	0
8	51809	1
8	52330	1
8	53676	1
8	54226	0
8	54430	0
8	54553	1
8	54683	0
8	55160	0
8	55195	0
8	55474	1
8	56548	1
8	56919	0
8	57658	1
8	58046	0
8	58194	1
8	58254	1
8	58739	1
8	59014	0
8	59282	1
8	59821	0
8	60409	1
8	60743	0
8	60878	0
8	60924	0
8	61134	1
8	61837	1
8	62056	0
8	62263	0
8	64095	1
8	64468	1
8	64823	0
8	65034	0
8	66045	1
8	66127	1
8	68374	0
8	68975	1
8	69210	1
8	69651	0
8	69888	0
8	69969	0
8	70042	1
8	70732	0
8	70910	0
8	71065	0
8	71608	0
8	71616	0
8	71766	0
8	71815	1
8	72019	0
8	72105	1
8	72450	0
8	72706	1
8	72880	0
8	75115	1
8	75853	0
8	76075	0
8	77194	1
8	77895	0
8	77989	1
8	78012	1
8	78341	1
8	79690	1
8	79883	1
8	79951	0
8	81160	0
8	81467	0
8	81795	0
8	82684	0
8	82939	1
8	83538	1
8	83706	0
8	84348	1
8	84395	1
8	84425	0
8	84446	0
8	84448	1
8	84851	0
8	84971	0
8	85221	0
8	85407	0
8	86767	1
8	87025	1
8	87456	0
8	87991	1
8	88282	0
8	88790	1
8	89009	1
8	89397	0
8	89866	1
8	90403	0
8	91341	1
8	91491	0
8	92050	1
8	92481	1
8	92725	1
8	92729	1
8	92946	1
8	93370	1
8	94857	1
8	95409	1
8	95426	1
8	97097	0
8	97187	1
8	97198	0
8	97531	0
8	97550	0
8	97979	0
8	98019	1
8	98951	1
8	99695	1
8	100220	1
8	100515	0
8	100628	0
8	100719	0
8	100796	0
8	101501	1
8	103057	0
8	103140	0
8	103468	1
8	103738	0
8	103875	1
8	104861	1
8	104995	1
8	105147	1
8	105245	0
8	106869	1
8	107937	0
8	108661	0
8	108766	0
8	109097	1
8	109283	1
8	109288	1
8	112963	0
8	112967	0
8	113670	1
8	113921	0
8	114028	0
8	114267	0
8	114332	1
8	115223	0
8	115532	1
8	117362	0
8	117447	1
8	117933	1
8	117936	0
8	117975	0
8	118004	0
8	118190	1
8	118421	1
8	119370	1
8	119419	1
8	120329	1
8	120877	1
8	121491	1
8	122644	0
8	122936	0
8	123028	0
8	123824	0
8	124595	1
8	124837	0
8	125335	0
8	125404	1
8	125661	1
8	125981	1
8	126403	0
8	126837	1
8	127167	0
8	127395	1
8	127808	1
8	128649	1
8	130032	1
8	130396	0
8	133863	0
8	134478	1
8	135745	1
8	135981	1
8	136221	1
8	136793	1
8	137958	1
8	137977	0
8	138754	1
8	139337	1
8	139574	0
8	140541	1
8	140868	0
8	140942	0
8	141584	1
8	142757	1
8	142923	0
8	143222	0
8	143718	1
8	144048	0
8	144209	1
8	146226	1
8	146427	0
8	146459	1
8	148000	1
8	148024	0
8	148791	0
8	149217	0
8	149252	0
8	149426	1
8	150584	1
8	151666	0
8	151942	1
8	152042	0
8	153041	1
8	153498	0
8	153605	0
8	154641	1
8	155406	1
8	155550	1
8	155655	0
8	155726	1
8	155747	1
8	155840	0
8	157965	1
8	158230	0
8	158675	1
8	159715	1
8	159719	1
8	159737	0
8	159901	1
8	160402	1
8	161331	0
8	163181	0
8	163694	0
8	164613	1
8	165149	0
8	165773	0
8	165807	0
8	166478	0
8	166836	0
8	168243	0
8	168400	1
8	168496	1
8	170434	1
8	170950	1
8	171975	1
8	173183	0
8	174047	1
8	175533	1
8	175800	0
8	175942	1
8	176183	1
8	176490	0
8	177230	0
8	177381	1
8	177524	1
8	178231	1
8	178645	0
8	178656	1
8	178906	1
8	178968	1
8	179133	1
8	179669	0
8	179686	1
8	179736	1
8	180591	1
8	181783	0
8	181891	1
8	181953	0
8	181968	1
8	182306	1
8	182465	0
8	182640	0
8	183059	1
8	184035	0
8	184074	1
8	184613	1
8	184665	0
8	184839	0
8	186106	0
8	186109	1
8	186231	0
8	186753	0
8	186773	0
8	187161	1
8	188123	1
8	188277	0
8	188962	1
8	189232	1
8	189385	1
8	189617	1
8	189862	0
8	190462	0
8	192851	0
8	192968	1
8	194695	0
8	195051	0
8	195343	0
8	196359	0
8	196778	0
8	197801	1
8	198933	1
8	199165	1
8	200074	1
8	200330	0
8	201227	0
8	201567	0
8	203511	1
8	203737	1
8	204231	0
8	204457	0
8	205329	0
8	205670	1
8	205808	1
8	206365	1
8	206631	0
8	207282	1
8	207522	0
8	208293	1
8	208347	1
8	208524	1
8	208536	1
8	208976	1
8	210642	0
8	211001	0
8	212041	0
8	213323	0
8	213796	0
8	214018	1
8	214129	1
8	214265	0
8	214269	1
8	214382	1
8	214901	1
8	214942	1
8	215895	0
8	215903	1
8	216387	0
8	217066	1
8	217872	0
8	217925	0
8	218072	1
8	218729	0
8	219641	0
8	219794	0
8	220056	0
8	220432	1
8	220830	0
8	221387	0
8	221455	1
8	222534	1
8	222903	0
8	223276	0
8	224315	0
8	225025	1
8	225116	0
8	225152	1
8	225444	1
8	225635	0
8	225678	0
8	225819	1
8	225825	1
8	226381	1
8	226555	1
8	226581	1
8	227733	1
8	228207	1
8	229021	0
8	229377	1
8	230099	0
8	230919	1
8	231066	0
8	231930	1
8	232820	0
8	233732	0
8	233901	0
8	235149	0
8	236124	0
8	237027	1
8	237274	0
8	237390	1
8	237425	0
8	238038	0
8	238185	1
8	238300	0
8	239234	1
8	239458	1
8	239910	1
8	240569	0
8	240993	1
8	241934	0
8	242111	1
8	242391	0
8	242882	0
8	243120	1
8	243723	1
8	243953	0
8	244383	0
8	244580	1
8	246003	0
8	246815	0
8	247367	0
8	247644	0
8	248306	1
8	249318	0
8	249538	0
8	249952	0
8	250055	1
8	250617	1
8	251378	1
8	252095	1
8	252450	0
8	252794	0
8	252815	1
8	253055	0
8	253628	1
8	253995	0
8	254688	0
8	254760	0
8	255329	1
8	255793	0
8	257448	0
8	257744	0
8	257804	0
8	259404	1
8	261779	0
8	262789	1
8	263207	1
8	263926	1
8	264421	0
8	264443	1
8	264617	1
8	265086	0
8	266263	1
8	266302	1
8	267334	0
8	267362	1
8	267902	0
8	268154	1
8	268778	1
8	269444	0
8	269687	1
8	269762	1
8	269807	0
8	271068	1
8	271441	0
8	271926	0
8	272525	0
8	272902	1
8	273458	1
8	274262	0
8	274898	1
8	275089	0
8	275326	0
8	275436	0
8	275539	0
8	276464	0
8	276614	1
8	277932	1
8	278087	0
8	279068	0
8	279984	1
8	280463	0
8	281040	0
8	281624	1
8	281804	0
8	282218	0
8	282403	1
8	282441	1
8	282454	0
8	283724	1
8	284597	1
8	285111	0
8	285294	0
8	285639	0
8	285737	1
8	285817	0
8	285901	1
8	286142	1
8	286357	1
8	286458	1
8	286694	1
8	286727	1
8	287403	1
8	288279	1
8	289253	1
8	290879	1
8	290885	1
8	291842	0
8	292508	1
8	292865	1
8	293057	1
8	293403	1
8	294181	1
8	294275	0
8	294370	0
8	294945	1
8	296255	1
8	296924	0
8	297179	1
8	297350	1
8	298988	0
8	299936	1
8	300090	0
8	300561	0
8	301812	1
8	301889	1
8	302492	0
8	302639	0
8	304026	1
8	304372	0
8	305401	0
8	306939	0
8	307607	1
8	307770	0
8	307856	1
8	308205	1
8	309423	1
8	309951	1
8	311537	1
8	311742	0
8	313182	1
8	313183	1
8	313374	0
8	313551	1
8	313686	0
8	313919	1
8	314110	1
8	315246	0
8	315296	1
8	315329	1
8	315467	0
8	315804	0
8	316447	1
8	316557	0
8	316992	0
8	317086	1
8	317199	1
8	317224	1
8	317756	0
8	317805	0
8	318126	0
8	319208	1
8	319452	0
8	319572	1
8	319913	0
8	319967	1
8	320158	0
8	320226	1
8	321390	0
8	321591	0
8	322134	1
8	322214	1
8	322376	0
8	322445	0
8	322907	1
8	323046	1
8	323390	1
8	323603	1
8	323781	1
8	325165	0
8	325606	1
8	326081	1
8	327306	0
8	327432	1
8	328005	1
8	328294	1
8	328694	1
8	328888	1
8	329668	1
8	329896	1
8	330699	1
8	332239	0
8	332624	1
8	332915	0
8	333196	1
8	333602	0
8	333972	0
8	334433	1
8	334819	0
8	335017	1
8	335330	1
8	335456	0
8	335637	1
8	335799	0
8	337039	1
8	337333	1
8	338466	0
8	338468	0
8	338823	1
8	339771	1
8	339874	1
8	340255	0
8	341435	1
8	342113	0
8	342471	1
8	342481	1
8	342882	0
8	343063	0
8	343365	1
8	345260	1
8	345990	1
8	346133	1
8	347375	0
8	348282	0
8	348659	0
8	348816	0
8	348932	0
8	348932	1
8	348958	0
8	349375	0
8	350871	1
8	351590	1
8	351617	0
8	351843	1
8	352294	0
8	352346	0
8	352445	1
8	352707	0
8	352769	1
8	354255	0
8	355621	1
8	355997	0
8	356909	1
8	356922	0
8	357142	1
8	357614	1
8	358077	1
8	358147	0
8	359478	1
8	359585	1
8	360103	0
8	360683	1
8	360770	1
8	361479	1
8	362258	1
8	366488	1
8	367133	0
8	368726	1
8	368745	1
8	368847	0
8	370025	1
8	370260	1
8	370395	0
8	370718	1
8	371577	1
8	372304	1
8	372348	1
8	372351	0
8	372890	0
8	372953	0
8	373774	1
8	374689	0
8	376057	1
8	377042	1
8	377119	1
8	378592	0
8	379401	0
8	379699	0
8	379843	1
8	380024	0
8	380025	0
8	380321	1
8	380884	1
8	381105	1
8	381849	0
8	382038	0
8	382738	0
8	382838	1
8	383141	1
8	383607	0
8	383732	1
8	384062	1
8	384288	0
8	384465	1
8	386104	0
8	386641	0
8	387310	1
8	387747	1
8	387908	1
8	387916	1
8	387987	1
8	388030	0
8	388268	1
8	388605	1
8	389409	0
8	390073	0
8	390574	1
8	390856	1
8	391761	0
8	392342	1
8	392624	1
8	392933	0
8	393258	0
8	393649	1
8	393880	1
8	394496	1
8	394509	0
8	394991	0
8	395261	1
8	396035	0
8	396089	1
8	396141	0
8	396416	1
8	397183	0
8	398001	1
8	398380	1
8	399570	1
8	399692	0
8	400264	0
8	400565	1
8	400934	0
8	401116	1
8	401400	0
8	401715	1
8	402903	1
8	404786	0
8	405619	0
8	405727	1
8	407925	1
8	408514	0
8	408821	0
8	409586	1
8	411423	1
8	411454	1
8	412487	0
8	412511	0
8	412657	1
8	412894	1
8	413022	0
8	413872	1
8	415184	0
8	415402	1
8	415488	0
8	416091	1
8	416408	0
8	416637	0
8	418551	1
8	418841	1
8	419220	1
8	420647	0
8	421974	1
8	422165	1
8	422362	0
8	422750	1
8	424767	0
8	424953	1
8	424973	0
8	425338	0
8	425666	1
8	425961	1
8	426347	0
8	427210	1
8	427694	0
8	428368	0
8	429092	0
8	429289	0
8	430665	1
8	431618	0
8	431909	1
8	431999	0
8	432043	0
8	432046	0
8	432667	0
8	433784	0
8	433882	0
8	435127	0
8	435714	1
8	435741	0
8	436592	0
8	436839	0
8	437180	0
8	437212	0
8	437530	0
8	438682	0
8	439863	0
8	440183	1
8	441502	0
8	441816	0
8	442540	0
8	443271	1
8	445482	0
8	445928	1
8	446045	0
8	448007	1
8	448243	0
8	448538	1
8	449431	1
8	449983	0
8	450267	0
8	450553	0
8	450973	1
8	451264	0
8	453077	0
8	453286	0
8	453779	0
8	453924	1
8	454389	1
8	454608	0
8	455165	0
8	455690	0
8	455972	1
8	457631	1
8	458153	0
8	458427	0
8	458847	0
8	459001	0
8	459163	0
8	459916	0
